Name,Age,Salary,Join_Date,Department,Tenure_Years,Tenure_Category
Melissa Ward,50.0,100000.0,2022-10-31,Finance,1,Junior
Mackenzie Krause,50.0,3059000.0,2022-05-08,Finance,2,Junior
Sydney Harris,35.0,100000.0,2021-10-27,IT,3,Junior
Mrs. Beverly Murphy DVM,30.0,1560500.0,2024-02-01,IT,0,Junior
Mr. Corey Rose,35.0,1560500.0,2024-01-20,IT,0,Junior
Carolyn Stevens,1000.0,100000.0,2021-05-06,HR,3,Junior
Elizabeth Nunez,35.0,60000.0,2022-05-08,Admin,2,Junior
Austin Morris,30.0,100000.0,2023-08-29,IT,1,Junior
Rachel Rodriguez,30.0,100000.0,2021-04-17,IT,3,Junior
Amy Melton,50.0,3059000.0,2021-06-09,Finance,3,Junior
Dr. Troy Wilson,30.0,70000.0,2022-09-10,HR,2,Junior
Rachel Jackson,1000.0,50000.0,2022-05-08,HR,2,Junior
Kevin Pittman,50.0,100000.0,2022-05-08,Finance,2,Junior
Roger Palmer,35.0,70000.0,2024-05-20,Admin,0,Junior
Lauren Turner,25.0,70000.0,2021-12-17,IT,2,Junior
Charles Clark,,100000.0,2022-05-08,HR,2,Junior
Melanie James,,50000.0,2021-05-07,HR,3,Junior
Mrs. Lori Moore,35.0,100000.0,2021-05-31,HR,3,Junior
Elizabeth Moreno,50.0,60000.0,2022-01-18,IT,2,Junior
Rebekah Wang,35.0,100000.0,2020-10-31,Finance,3,Junior
Andrew Rodriguez,,70000.0,2020-10-19,HR,4,Junior
Cynthia Marshall,1000.0,60000.0,2024-02-04,HR,0,Junior
Maria Johnson,25.0,3059000.0,2023-10-06,Finance,1,Junior
Mr. Henry Lawrence,50.0,60000.0,2023-06-26,Admin,1,Junior
Randall Keith,,70000.0,2023-09-30,HR,1,Junior
Malik Parker,30.0,100000.0,2022-07-21,IT,2,Junior
Andrew Garrison,1000.0,100000.0,2020-02-01,HR,4,Junior
Taylor Jarvis,25.0,70000.0,2024-09-17,Admin,0,Junior
Brianna Curtis,35.0,70000.0,2020-06-05,Admin,4,Junior
Sandra Romero,35.0,100000.0,2023-11-25,Admin,0,Junior
Stephanie Stephenson,35.0,100000.0,2022-06-09,IT,2,Junior
Jessica Stanton,50.0,60000.0,2022-05-08,Finance,2,Junior
Jamie Neal,25.0,60000.0,2020-08-18,IT,4,Junior
Jessica Harmon,,2987059.0,2023-06-07,Admin,1,Junior
Chloe Jordan,35.0,50000.0,2021-02-03,Admin,3,Junior
Bradley Peterson,50.0,70000.0,2023-07-26,Finance,1,Junior
Stephanie Nelson,50.0,100000.0,2024-04-27,Finance,0,Junior
Todd Anderson,30.0,100000.0,2022-05-08,IT,2,Junior
Jonathan Williams,30.0,60000.0,2021-01-04,Admin,3,Junior
Matthew Orozco,35.0,2987059.0,2022-11-28,Admin,1,Junior
Victoria Pineda,,100000.0,2020-09-13,HR,4,Junior
Daniel Rojas,1000.0,60000.0,2021-01-24,HR,3,Junior
Sandra Cooper,1000.0,2209225.0,2020-05-29,HR,4,Junior
Brian Vaughn,25.0,60000.0,2024-02-15,IT,0,Junior
Andrew Mosley,35.0,100000.0,2020-08-29,Admin,4,Junior
Nancy White,35.0,2987059.0,2023-10-28,Admin,1,Junior
Melissa Potts,30.0,100000.0,2021-06-06,IT,3,Junior
Shaun Murphy,35.0,70000.0,2021-07-14,Admin,3,Junior
Joseph Jimenez,,100000.0,2021-03-14,IT,3,Junior
Daniel Wyatt,,100000.0,2023-01-29,Admin,1,Junior
Timothy Spencer,50.0,100000.0,2022-11-25,HR,1,Junior
Jerry Martin,30.0,50000.0,2022-12-13,IT,1,Junior
Christopher Francis,35.0,70000.0,2023-07-24,Admin,1,Junior
Robin Conrad,30.0,100000.0,2021-07-31,IT,3,Junior
Anthony Soto,30.0,50000.0,2024-09-19,IT,0,Junior
Christopher Johnson,25.0,100000.0,2020-12-23,HR,3,Junior
Jacqueline Quinn,25.0,70000.0,2023-04-01,IT,1,Junior
Jennifer Clayton,25.0,100000.0,2024-02-22,IT,0,Junior
Michael Carter Jr.,25.0,70000.0,2020-09-01,Admin,4,Junior
Angela Lutz,,70000.0,2024-09-15,HR,0,Junior
Steven Wagner,50.0,70000.0,2023-11-10,Admin,0,Junior
Trevor Garcia,25.0,100000.0,2024-01-18,IT,0,Junior
Christina Benjamin,1000.0,60000.0,2020-01-15,Finance,4,Junior
Jeffrey Rogers,1000.0,50000.0,2022-03-31,HR,2,Junior
Benjamin Potter,30.0,100000.0,2023-04-04,Finance,1,Junior
Jeremy Miller,35.0,100000.0,2021-01-04,Admin,3,Junior
Cody Nixon,1000.0,100000.0,2021-02-19,HR,3,Junior
Justin Dudley,1000.0,50000.0,2020-03-18,HR,4,Junior
Stacey Davis,25.0,60000.0,2022-05-08,Finance,2,Junior
Lauren Murphy,35.0,60000.0,2023-07-13,Admin,1,Junior
David Salazar,30.0,1560500.0,2024-05-03,IT,0,Junior
Amy Chambers,1000.0,60000.0,2022-06-21,IT,2,Junior
Benjamin Duncan,35.0,1560500.0,2024-05-24,IT,0,Junior
Kevin Pittman,50.0,100000.0,2022-05-08,Finance,2,Junior
Daniel Castaneda,50.0,100000.0,2022-04-07,Finance,2,Junior
Margaret Wilson,1000.0,100000.0,2022-03-28,IT,2,Junior
Lindsey Carlson,35.0,2721333.0,2021-02-08,HR,3,Junior
Lisa Price,35.0,70000.0,2021-06-19,Admin,3,Junior
Julie Garcia,35.0,60000.0,2023-02-10,IT,1,Junior
Dakota Scott,50.0,100000.0,2022-08-17,Finance,2,Junior
Joseph Smith,35.0,2721333.0,2022-02-21,HR,2,Junior
Megan Rodriguez,25.0,60000.0,2021-04-03,IT,3,Junior
Leslie Miles,25.0,50000.0,2024-10-02,IT,0,Junior
Faith Dalton,25.0,70000.0,2023-08-23,IT,1,Junior
Andrew Phillips,,70000.0,2022-03-25,Admin,2,Junior
Jamie Hensley DVM,50.0,100000.0,2021-03-19,IT,3,Junior
Austin Mueller,25.0,70000.0,2020-05-09,Admin,4,Junior
Tracy Nicholson,,50000.0,2023-06-06,Admin,1,Junior
Amber Mcdonald,25.0,50000.0,2020-03-07,Admin,4,Junior
Matthew Fowler,25.0,2721333.0,2020-11-08,HR,3,Junior
