Name,Age,Salary,Join_Date,Department
Melissa Ward,50,100000.0,2022-10-31,
Mackenzie Krause,50,,2020-14-03,Finance
Sydney Harris,35,100000.0,2021-10-27,IT
Mrs. Beverly Murphy DVM,30,,2024-02-01,IT
Mr. Corey Rose,,,2024-01-20,IT
Carolyn Stevens,1000,9999999.0,2021-05-06,HR
Elizabeth Nunez,,60000.0,Invalid Date,Admin
Austin Morris,30,9999999.0,2023-08-29,
Rachel Rodriguez,30,9999999.0,2021-04-17,IT
Amy Melton,50,,2021-06-09,Finance
Dr. Troy Wilson,30,70000.0,2022-09-10,HR
Rachel Jackson,1000,50000.0,32/01/2020,
Kevin Pittman,50,100000.0,32/01/2020,Finance
Roger Palmer,35,70000.0,2024-05-20,
Lauren Turner,25,70000.0,2021-12-17,
Charles Clark,forty,9999999.0,Invalid Date,
Melanie James,forty,50000.0,2021-05-07,HR
Mrs. Lori Moore,35,100000.0,2021-05-31,HR
Elizabeth Moreno,50,60000.0,2022-01-18,IT
Rebekah Wang,,9999999.0,2020-10-31,Finance
Andrew Rodriguez,forty,70000.0,2020-10-19,HR
Cynthia Marshall,1000,60000.0,2024-02-04,HR
Maria Johnson,25,,2023-10-06,Finance
Mr. Henry Lawrence,50,60000.0,2023-06-26,Admin
Randall Keith,forty,70000.0,2023-09-30,HR
Malik Parker,30,100000.0,2022-07-21,
Andrew Garrison,1000,9999999.0,2020-02-01,HR
Taylor Jarvis,25,9999999.0,2024-09-17,Admin
Brianna Curtis,,9999999.0,2020-06-05,Admin
Sandra Romero,35,100000.0,2023-11-25,Admin
Stephanie Stephenson,,9999999.0,2022-06-09,
Jessica Stanton,50,60000.0,2020-14-03,
Jamie Neal,25,60000.0,2020-08-18,IT
Jessica Harmon,forty,,2023-06-07,Admin
Chloe Jordan,35,50000.0,2021-02-03,Admin
Bradley Peterson,50,70000.0,2023-07-26,Finance
Stephanie Nelson,50,100000.0,2024-04-27,Finance
Todd Anderson,30,100000.0,32/01/2020,
Jonathan Williams,30,60000.0,2021-01-04,Admin
Matthew Orozco,35,,2022-11-28,Admin
Victoria Pineda,forty,9999999.0,2020-09-13,HR
Daniel Rojas,1000,60000.0,2021-01-24,
Sandra Cooper,1000,,2020-05-29,
Brian Vaughn,25,60000.0,2024-02-15,IT
Sydney Harris,35,100000.0,2021-10-27,IT
Andrew Mosley,35,100000.0,2020-08-29,
Nancy White,35,,2023-10-28,Admin
Melissa Potts,30,100000.0,2021-06-06,
Shaun Murphy,35,70000.0,2021-07-14,
Joseph Jimenez,forty,9999999.0,2021-03-14,IT
